"state","icpsrState","cd","icpsrLegis","party","partyCode","missingVotes","idealPoint","lo","up","label","indx"
"NJ",12,12,21538,"D",100,3,-2.67308800531749,-3.40971885656915,-1.82661368246099,"WATSON (D NJ-12)",1
"IL",21,9,29911,"D",100,7,-2.2137134598106,-3.23659950168041,-1.33151862398589,"SCHAKOWSKY (D IL-9)",2
"CA",71,11,21504,"D",100,2,-2.20681887472138,-2.82634079152436,-1.6513524792213,"DESAULNIER (D CA-11)",3
"WA",73,7,21726,"D",100,1,-1.96275334078164,-2.78389289673299,-1.34768133325328,"JAYAPAL (D WA-7)",4
"MS",46,2,29368,"D",100,6,-1.92802862513585,-2.41214779454469,-1.31929528564578,"THOMPSON (D MS-2)",5
"CA",71,13,29778,"D",100,8,-1.89181874203458,-2.4827233369986,-1.27143224579812,"LEE (D CA-13)",6
"MA",3,2,29729,"D",100,2,-1.8822598560785,-2.58278522215627,-1.21085786813405,"MCGOVERN (D MA-2)",7
"MD",52,3,20724,"D",100,0,-1.85150009704616,-2.6170104299956,-1.2368020297531,"SARBANES (D MD-3)",8
"CA",71,37,21110,"D",100,15,-1.82179769867989,-2.45868306051925,-1.11541349077121,"BASS (D CA-37)",9
"GA",44,5,15431,"D",100,8,-1.81959973077988,-2.50895055797304,-1.22270922514296,"LEWIS (D GA-5)",10
"SC",48,6,39301,"D",100,12,-1.78082669316455,-2.32957108713085,-1.07897472906325,"CLYBURN (D SC-6)",11
"MD",52,8,21741,"D",100,2,-1.75949382759483,-2.42014906445402,-1.21516792324668,"RASKIN (D MD-8)",12
"NJ",12,10,31103,"D",100,51,-1.69591709727288,-2.31482480521705,-1.12364855793856,"PAYNE (D NJ-10)",13
"IN",22,7,20757,"D",100,11,-1.66304646022746,-2.23616792013669,-1.13858385597733,"CARSON (D IN-7)",14
"AZ",61,3,20305,"D",100,25,-1.66254108707,-2.41151692792729,-0.952568261723226,"GRIJALVA (D AZ-3)",15
"PA",14,1,29777,"D",100,4,-1.64006171859308,-2.23893866664663,-1.05217822521546,"BRADY (D PA-1)",16
"CA",71,38,20310,"D",100,7,-1.62010059211719,-2.21722400597142,-1.08612558163282,"SANCHEZ (D CA-38)",17
"NY",13,25,15444,"D",100,89,-1.57940137380213,-2.17593713073079,-1.04495045763763,"SLAUGHTER (D NY-25)",18
"NJ",12,6,15454,"D",100,0,-1.55547200028288,-2.28493983046792,-1.01904879837045,"PALLONE (D NJ-6)",19
"WI",25,4,20537,"D",100,23,-1.53555700871461,-2.06437721986363,-1.05932514344276,"MOORE (D WI-4)",20
"PA",14,14,29561,"D",100,1,-1.50744528933295,-1.99256235818714,-0.999861436271114,"DOYLE (D PA-14)",21
"MA",3,5,21375,"D",100,14,-1.50497041077861,-2.07847918902153,-1.04894875170861,"CLARK (D MA-5)",22
"LA",45,2,21137,"D",100,40,-1.49279317896098,-2.00770467763957,-1.03179087767828,"RICHMOND (D LA-2)",23
