"state","party","gender","nameid","icpsr.id","govtrack.id","cspan.id","thomas.id","class","next.election","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"VT","I","M","S000033","29147","400357","994","1010", , ,0,-1.96108623655886,-3.66278258852361,-0.625407857151616,"Sanders (I-VT)",1,"Bernard","Sanders"
"WA","D","F","C000127","39310","300018","26137","172", , ,0,-1.94864884240185,-3.51692903201572,-0.541858535271005,"Cantwell (D-WA)",2,"Maria","Cantwell"
"MA","D","F","W000817","41301","412542","1023023","2182", , ,0,-1.91504857219089,-3.41719623642456,-0.446464719001673,"Warren (D-MA)",3,"Elizabeth","Warren"
"HI","D","M","S001194","41112","412507","87784","2173", , ,0,-1.4362595661492,-2.59300888638985,-0.376288494882325,"Schatz (D-HI)",4,"Brian","Schatz"
"MD","D","M","C000141","15408","400064","4004","174", , ,0,-1.41934153491377,-2.75453001697307,-0.441864824137408,"Cardin (D-MD)",5,"Benjamin","Cardin"
"RI","D","M","W000802","40704","412247","92235","1823", , ,0,-1.40923432266525,-2.60259312961826,-0.354175340497555,"Whitehouse (D-RI)",6,"Sheldon","Whitehouse"
"NJ","D","M","M000639","29373","400272","29608","791", , ,0,-1.39401337133083,-2.48278941900252,-0.216504789134856,"Menendez (D-NJ)",7,"Robert","Menendez"
"WA","D","F","M001111","49308","300076","25277","1409", , ,0,-1.39342146526157,-2.73002383457825,-0.3095492392741,"Murray (D-WA)",8,"Patty","Murray"
"IL","D","M","D000563","15021","300038","6741","326", , ,0,-1.3912547251844,-2.61316174581689,-0.460088882567682,"Durbin (D-IL)",9,"Richard","Durbin"
"WI","D","F","B001230","29940","400013","57884","1558", , ,0,-1.39058681534261,-2.49863245286321,-0.38378154176629,"Baldwin (D-WI)",10,"Tammy","Baldwin"
"MA","D","M","M000133","14435","400253","260","735", , ,0,-1.39032123879887,-2.56488197978143,-0.354065674878244,"Markey (D-MA)",11,"Edward","Markey"
"NY","D","M","S000148","14858","300087","5929","1036", , ,0,-1.38477674874802,-2.61565020879519,-0.443836310375124,"Schumer (D-NY)",12,"Charles","Schumer"
"RI","D","M","R000122","29142","300081","24239","949", , ,0,-1.3787941135488,-2.69937167030266,-0.374586468641566,"Reed (D-RI)",13,"Jack","Reed"
"NH","D","F","S001181","40906","412323","22850","1901", , ,0,-1.37267181983356,-2.66480805621328,-0.401070810495051,"Shaheen (D-NH)",14,"Jeanne","Shaheen"
"NY","D","F","G000555","20735","412223","1022862","1866", , ,0,-1.37183470364995,-2.60759049268636,-0.291083721635128,"Gillibrand (D-NY)",15,"Kirsten","Gillibrand"
"DE","D","M","C001088","40916","412390","9269028","1984", , ,0,-1.36922791538594,-2.49656839743181,-0.363902637462059,"Coons (D-DE)",16,"Christopher","Coons"
"VT","D","M","L000174","14307","300065","1552","1383", , ,0,-1.36866547681661,-2.49204539773491,-0.307281505615836,"Leahy (D-VT)",17,"Patrick","Leahy"
"OR","D","M","M001176","40908","412325","1029842","1900", , ,0,-1.36731394310031,-2.62148885651141,-0.370074644826419,"Merkley (D-OR)",18,"Jeff","Merkley"
"FL","D","M","N000032","14651","300078","1931","859", , ,0,-1.36266942686616,-2.64894682331883,-0.344463325986789,"Nelson (D-FL)",19,"Bill","Nelson"
"NJ","D","M","B001288","41308","412598","84679","2194", , ,0,-1.36116892742242,-2.56504514231716,-0.325882615434229,"Booker (D-NJ)",20,"Cory","Booker"
